datetime,time_min,us_station_obs,ds_station_obs
           2020-09-26 04:04:00,600,6.73,6.26
           2020-09-26 04:14:00,610,6.78697823,6.25712579
           2020-09-26 04:24:00,620,6.84965893,6.258814191
           2020-09-26 04:34:00,630,6.91,6.26
           2020-09-26 04:44:00,640,6.962308804,6.256362833
           2020-09-26 04:54:00,650,7.010290572,6.246561592
           2020-09-26 05:04:00,660,7.06,6.23
           2020-09-26 05:14:00,670,7.116008775,6.20853399
           2020-09-26 05:24:00,680,7.176956558,6.19382833
           2020-09-26 05:34:00,690,7.24,6.2
           2020-09-26 05:44:00,700,7.302915354,6.235797505
           2020-09-26 05:54:00,710,7.36595727,6.288495458
           2020-09-26 06:04:00,720,7.43,6.34
           2020-09-26 06:14:00,730,7.495292773,6.376424139
           2020-09-26 06:24:00,740,7.559584732,6.400708356
           2020-09-26 06:34:00,750,7.62,6.42
           2020-09-26 06:44:00,760,7.674432074,6.440357792
           2020-09-26 06:54:00,770,7.723851951,6.463485934
           2020-09-26 07:04:00,780,7.77,6.49
           2020-09-26 07:14:00,790,7.814015967,6.519181731
           2020-09-26 07:24:00,800,7.854637095,6.544977538
           2020-09-26 07:34:00,810,7.89,6.56
           2020-09-26 07:44:00,820,7.918022574,6.559952322
           2020-09-26 07:54:00,830,7.935747816,6.552900211
           2020-09-26 08:04:00,840,7.94,6.55
           2020-09-26 08:14:00,850,7.929819661,6.558786759
           2020-09-26 08:24:00,860,7.91311238,6.572310506
           2020-09-26 08:34:00,870,7.9,6.58
           2020-09-26 08:44:00,880,7.896772856,6.574159902
           2020-09-26 08:54:00,890,7.894395256,6.558598504
           2020-09-26 09:04:00,900,7.88,6.54
           2020-09-26 09:14:00,910,7.845681508,6.524203261
           2020-09-26 09:24:00,920,7.803380671,6.513665849
           2020-09-26 09:34:00,930,7.77,6.51
           2020-09-26 09:44:00,940,7.757167779,6.513841867
           2020-09-26 09:54:00,950,7.755415393,6.521923284
           2020-09-26 10:04:00,960,7.75,6.53
           2020-09-26 10:14:00,970,7.729351078,6.533392232
           2020-09-26 10:24:00,980,7.694587386,6.525678053
           2020-09-26 10:34:00,990,7.65,6.5
           2020-09-26 10:44:00,1000,7.600242722,6.452218834
           2020-09-26 10:54:00,1010,7.551420248,6.389068209
           2020-09-26 11:04:00,1020,7.51,6.32
           2020-09-26 11:14:00,1030,7.480048404,6.252917616
           2020-09-26 11:24:00,1040,7.456027917,6.189530593
           2020-09-26 11:34:00,1050,7.43,6.13
           2020-09-26 11:44:00,1060,7.396230328,6.073888481
           2020-09-26 11:54:00,1070,7.357801418,6.018364976
           2020-09-26 12:04:00,1080,7.32,5.96
           2020-09-26 12:14:00,1090,7.286141395,5.897084017
           2020-09-26 12:24:00,1100,7.251655298,5.834787283
           2020-09-26 12:34:00,1110,7.21,5.78
           2020-09-26 12:44:00,1120,7.156981871,5.736664339
           2020-09-26 12:54:00,1130,7.09779961,5.696930338
           2020-09-26 13:04:00,1140,7.04,5.65
           2020-09-26 13:14:00,1150,6.989264456,5.588110477
           2020-09-26 13:24:00,1160,6.943812929,5.515639513
           2020-09-26 13:34:00,1170,6.9,5.44
           2020-09-26 13:44:00,1180,6.855219563,5.368301159
           2020-09-26 13:54:00,1190,6.811022749,5.306437534
           2020-09-26 14:04:00,1200,6.77,5.26
           2020-09-26 14:14:00,1210,6.733931366,5.23164785
           2020-09-26 14:24:00,1220,6.701355334,5.212314053
           2020-09-26 14:34:00,1230,6.67,5.19
           2020-09-26 14:44:00,1240,6.637573491,5.156218553
           2020-09-26 14:54:00,1250,6.601704062,5.116528474
           2020-09-26 15:04:00,1260,6.56,5.08
           2020-09-26 15:14:00,1270,6.511700596,5.053107568
           2020-09-26 15:24:00,1280,6.462569158,5.03194242
           2020-09-26 15:34:00,1290,6.42,5.01
           2020-09-26 15:44:00,1300,6.388587088,4.981721547
           2020-09-26 15:54:00,1310,6.361723009,4.945331477
           2020-09-26 16:04:00,1320,6.33,4.9
           2020-09-26 16:14:00,1330,6.286543643,4.84630254
           2020-09-26 16:24:00,1340,6.234612881,4.790435376
           2020-09-26 16:34:00,1350,6.18,4.74
           2020-09-26 16:44:00,1360,6.127460562,4.700475701
           2020-09-26 16:54:00,1370,6.077603244,4.668852946
           2020-09-26 17:04:00,1380,6.03,4.64
           2020-09-26 17:14:00,1390,5.983984479,4.610313176
           2020-09-26 17:24:00,1400,5.937937105,4.582300988
           2020-09-26 17:34:00,1410,5.89,4.56
           2020-09-26 17:44:00,1420,5.838823746,4.545308632
           2020-09-26 17:54:00,1430,5.785092779,4.53157273
           2020-09-26 18:04:00,1440,5.73,4.51
           2020-09-26 18:14:00,1450,5.675164984,4.475489335
           2020-09-26 18:24:00,1460,5.623914002,4.437704387
           2020-09-26 18:34:00,1470,5.58,4.41
           2020-09-26 18:44:00,1480,5.544960764,4.400511808
           2020-09-26 18:54:00,1490,5.511473436,4.396498611
           2020-09-26 19:04:00,1500,5.47,4.38
           2020-09-26 19:14:00,1510,5.41425122,4.340241211
           2020-09-26 19:24:00,1520,5.350932993,4.295190058
           2020-09-26 19:34:00,1530,5.29,4.27
           2020-09-26 19:44:00,1540,5.238775097,4.27963446
           2020-09-26 19:54:00,1550,5.194053849,4.298296714
           2020-09-26 20:04:00,1560,5.15,4.29
           2020-09-26 20:14:00,1570,5.102129875,4.231961689
           2020-09-26 20:24:00,1580,5.051370129,4.154215679
           2020-09-26 20:34:00,1590,5,4.1
           2020-09-26 20:44:00,1600,4.949372071,4.098074338
           2020-09-26 20:54:00,1610,4.897132302,4.119285013
           2020-09-26 21:04:00,1620,4.84,4.12
           2020-09-26 21:14:00,1630,4.775937397,4.069815031
           2020-09-26 21:24:00,1640,4.70787844,3.991236861
           2020-09-26 21:34:00,1650,4.64,3.92
           2020-09-26 21:44:00,1660,4.575026488,3.882665537
           2020-09-26 21:54:00,1670,4.509872458,3.869100877
           2020-09-26 22:04:00,1680,4.44,3.86
           2020-09-26 22:14:00,1690,4.36284554,3.83989319
           2020-09-26 22:24:00,1700,4.283742841,3.808655929
           2020-09-26 22:34:00,1710,4.21,3.77
           2020-09-26 22:44:00,1720,4.146554314,3.727761703
           2020-09-26 22:54:00,1730,4.088859882,3.686275407
           2020-09-26 23:04:00,1740,4.03,3.65
           2020-09-26 23:14:00,1750,3.965011277,3.622393331
           2020-09-26 23:24:00,1760,3.896743558,3.602909108
           2020-09-26 23:34:00,1770,3.83,3.59
           2020-09-26 23:44:00,1780,3.768585764,3.58081312
           2020-09-26 23:54:00,1790,3.712314034,3.567273346
           2020-09-27 00:04:00,1800,3.66,3.54
           2020-09-27 00:14:00,1810,3.610645666,3.493243079
           2020-09-27 00:24:00,1820,3.564000304,3.435775286
           2020-09-27 00:34:00,1830,3.52,3.38
           2020-09-27 00:44:00,1840,3.4784612,3.335473824
           2020-09-27 00:54:00,1850,3.438721786,3.300366251
           2020-09-27 01:04:00,1860,3.4,3.27
           2020-09-27 01:14:00,1870,3.36143546,3.240787552
           2020-09-27 01:24:00,1880,3.321853293,3.213500449
           2020-09-27 01:34:00,1890,3.28,3.19
           2020-09-27 01:44:00,1900,3.235796959,3.170264858
           2020-09-27 01:54:00,1910,3.193865043,3.146743062
           2020-09-27 02:04:00,1920,3.16,3.11
           2020-09-27 02:14:00,1930,3.138339667,3.054819684
           2020-09-27 02:24:00,1940,3.126390238,2.992860635
           2020-09-27 02:34:00,1950,3.12,2.94
           2020-09-27 02:44:00,1960,3.114918448,2.907493444
           2020-09-27 02:54:00,1970,3.106499929,2.888110696
           2020-09-27 03:04:00,1980,3.09,2.87
           2020-09-27 03:14:00,1990,3.063097651,2.842984317
           2020-09-27 03:24:00,2000,3.033165601,2.803585471
           2020-09-27 03:34:00,2010,3.01,2.75
           2020-09-27 03:44:00,2020,2.999727984,2.682791509
           2020-09-27 03:54:00,2030,2.993800631,2.611991864
           2020-09-27 04:04:00,2040,2.98,2.55
           2020-09-27 04:14:00,2050,2.950212634,2.505108907
           2020-09-27 04:24:00,2060,2.912742988,2.469187812
           2020-09-27 04:34:00,2070,2.88,2.43
           2020-09-27 04:44:00,2080,2.861273333,2.379365455
           2020-09-27 04:54:00,2090,2.853375565,2.325330961
           2020-09-27 05:04:00,2100,2.85,2.28
           2020-09-27 05:14:00,2110,2.845434774,2.251503347
           2020-09-27 05:24:00,2120,2.836347345,2.232080938
           2020-09-27 05:34:00,2130,2.82,2.21
           2020-09-27 05:44:00,2140,2.795506089,2.17647301
           2020-09-27 05:54:00,2150,2.769383204,2.134493437
           2020-09-27 06:04:00,2160,2.75,2.09
           2020-09-27 06:14:00,2170,2.743281611,2.04927128
           2020-09-27 06:24:00,2180,2.745379098,2.019945314
           2020-09-27 06:34:00,2190,2.75,2.01
           2020-09-27 06:44:00,2200,2.752108207,2.023849277
           2020-09-27 06:54:00,2210,2.751692997,2.051651234
           2020-09-27 07:04:00,2220,2.75,2.08
           2020-09-27 07:14:00,2230,2.748655933,2.096813093
           2020-09-27 07:24:00,2240,2.750811876,2.095301601
           2020-09-27 07:34:00,2250,2.76,2.07
           2020-09-27 07:44:00,2260,2.777712507,2.02000946
           2020-09-27 07:54:00,2270,2.797281721,1.962697918
           2020-09-27 08:04:00,2280,2.81,1.92
           2020-09-27 08:14:00,2290,2.8097533,1.90796388
           2020-09-27 08:24:00,2300,2.80080198,1.919091913
           2020-09-27 08:34:00,2310,2.79,1.94
           2020-09-27 08:44:00,2320,2.782903924,1.959616501
           2020-09-27 08:54:00,2330,2.77988073,1.976119615
           2020-09-27 09:04:00,2340,2.78,1.99
           2020-09-27 09:14:00,2350,2.782334708,2.001718265
           2020-09-27 09:24:00,2360,2.785971396,2.011614814
           2020-09-27 09:34:00,2370,2.79,2.02
           2020-09-27 09:44:00,2380,2.7933128,2.026843773
           2020-09-27 09:54:00,2390,2.794011462,2.030754463
           2020-09-27 10:04:00,2400,2.79,2.03
           2020-09-27 10:14:00,2410,2.779969648,2.023128867
           2020-09-27 10:24:00,2420,2.765760532,2.009811777
           2020-09-27 10:34:00,2430,2.75,1.99
           2020-09-27 10:44:00,2440,2.734956757,1.966937056
           2020-09-27 10:54:00,2450,2.72146493,1.957035465
           2020-09-27 11:04:00,2460,2.71,1.98
           2020-09-27 11:14:00,2470,2.700573694,2.045789578
           2020-09-27 11:24:00,2480,2.691342713,2.125379696
           2020-09-27 11:34:00,2490,2.68,2.18
           2020-09-27 11:44:00,2500,2.664970688,2.182497227
           2020-09-27 11:54:00,2510,2.647608663,2.152186491
           2020-09-27 12:04:00,2520,2.63,2.12
           2020-09-27 12:14:00,2530,2.61472874,2.10903633
           2020-09-27 12:24:00,2540,2.606370785,2.111059525
           2020-09-27 12:34:00,2550,2.61,2.11
           2020-09-27 12:44:00,2560,2.627595833,2.095431529
           2020-09-27 12:54:00,2570,2.648760051,2.079501334
           2020-09-27 13:04:00,2580,2.66,2.08
           2020-09-27 13:14:00,2590,2.651924965,2.107756074
           2020-09-27 13:24:00,2600,2.631551976,2.145749954
           2020-09-27 13:34:00,2610,2.61,2.17
           2020-09-27 13:44:00,2620,2.595815418,2.163173804
           2020-09-27 13:54:00,2630,2.587254267,2.134535886
           2020-09-27 14:04:00,2640,2.58,2.1
           2020-09-27 14:14:00,2650,2.570739289,2.073252414
           2020-09-27 14:24:00,2660,2.560171695,2.059069463
           2020-09-27 14:34:00,2670,2.55,2.06
           2020-09-27 14:44:00,2680,2.542338536,2.075298022
           2020-09-27 14:54:00,2690,2.54094784,2.091038112
           2020-09-27 15:04:00,2700,2.55,2.09
           2020-09-27 15:14:00,2710,2.571388049,2.061851795
           2020-09-27 15:24:00,2720,2.597888798,2.023815126
           2020-09-27 15:34:00,2730,2.62,2
           2020-09-27 15:44:00,2740,2.630998156,2.007294797
           2020-09-27 15:54:00,2750,2.635274748,2.033701385
           2020-09-27 16:04:00,2760,2.64,2.06
           2020-09-27 16:14:00,2770,2.650915622,2.070450497
